NeuralNetwork1C1P3LReLU
convolution layer: filter num 8
37 0.00981099318374 99.675 97.78999999999999 72.5
38 0.00771055259413 99.7933333333 97.96000000000001 73.0
39 0.00819899053081 99.7516666667 97.78999999999999 70.0
40 0.00788820481111 99.755 97.58 72.5
41 0.0101821810635 99.645 97.81 73.0
42 0.00911017595497 99.69 97.85000000000001 72.5
43 0.00618374339697 99.7933333333 97.55 73.0
44 0.00833857173056 99.7383333333 97.8 72.0
45 0.00619169600535 99.8266666667 97.92999999999999 71.0
46 0.00477326370483 99.8516666667 97.69 71.0
47 0.00507965078042 99.8483333333 98.0 73.5
48 0.00481817967392 99.8583333333 97.89 71.5
49 0.0052861848681 99.8266666667 97.95 72.5

NeuralNetwork1C1P3LReLU
convolution layer: filter num 8
                   filter dim 3
pooling layer    : filter dim 2
hidden layer     : dim 65
0 0.796941132657 73.7283333333 91.61 56.00000000000001
1 0.188842323673 94.2983333333 94.92 61.5
2 0.13881842964 95.75 96.09 63.0
3 0.116307723272 96.4716666667 96.38 65.5
4 0.101305584393 96.8916666667 96.24000000000001 66.0
5 0.0921548845235 97.1633333333 96.52 67.0
6 0.0834142524178 97.4583333333 96.74000000000001 68.0
7 0.0757002270614 97.685 96.59 69.0
8 0.0701875516006 97.8566666667 96.67 70.5
9 0.0652483907767 98.005 96.67999999999999 71.0
10 0.0599413391302 98.145 97.08 71.0
11 0.0561061563365 98.25 96.8 73.0
12 0.052719550804 98.4 96.75 73.0
13 0.0487342646401 98.5483333333 96.6 73.5
14 0.0465590562389 98.5533333333 96.93 73.0
15 0.0430271284174 98.68 96.89999999999999 71.0
16 0.0403839483511 98.7916666667 96.76 72.5
17 0.038711698147 98.8216666667 97.03 73.5
18 0.0366131080594 98.8783333333 96.83 72.5
19 0.0342728443525 98.955 96.85000000000001 72.0
20 0.0327666090731 98.985 96.39999999999999 71.5
21 0.0305846419728 99.07 96.77 71.5
22 0.0292843641981 99.0716666667 96.3 73.0
23 0.0284382048713 99.075 96.67 72.5
24 0.0264586106803 99.1666666667 96.98 72.0
25 0.025243594626 99.1883333333 96.7 73.0
26 0.0232820334084 99.265 97.2 73.0
27 0.0226017278906 99.2916666667 97.16 73.5
28 0.0205870856658 99.325 97.37 73.0
29 0.0182286736112 99.4033333333 97.41 76.0
30 0.019170350827 99.3983333333 97.47 73.5
31 0.0166943192519 99.4733333333 97.17 71.5
32 0.0168589978196 99.4216666667 97.36 73.5
33 0.015817274822 99.5116666667 97.36 72.5
34 0.0145782078295 99.5316666667 97.39 73.5
35 0.0132620326789 99.6016666667 97.36 74.5
36 0.0121986799691 99.6066666667 97.39999999999999 74.0
37 0.0129413942331 99.5666666667 97.42 74.0
38 0.0117172187374 99.5966666667 97.58 74.5
39 0.0100970097949 99.685 97.47 72.0
40 0.0100602732488 99.6816666667 97.45 73.0
41 0.00893747470417 99.7 97.56 73.0
42 0.00909571318301 99.7183333333 97.5 73.5
43 0.00919474115527 99.7033333333 97.64 75.5
44 0.0097543381028 99.6566666667 97.66 74.0
45 0.00539503489174 99.84 97.33000000000001 75.0
46 0.00622814086932 99.83 97.61999999999999 74.0
47 0.00535022070787 99.8316666667 97.57000000000001 72.5
48 0.00426380909577 99.9033333333 97.39 73.5
49 0.00502488461202 99.8566666667 97.67 74.0

NeuralNetwork1C1P3LReLU
convolution layer: filter num 4
                   filter dim 3
pooling layer    : filter dim 2
hidden layer     : dim 55
0 0.793473627524 73.8466666667 92.17999999999999 60.0
1 0.191160403998 94.225 94.67 62.5
2 0.144521875581 95.63 95.59 65.0
3 0.123113746245 96.27 96.04 67.0
4 0.108143038616 96.755 96.25 68.5
5 0.0966165141054 97.0566666667 96.53 68.5
6 0.0877703688105 97.33 96.38 69.0
7 0.0801435302265 97.5433333333 96.45 68.0
8 0.0740734950919 97.74 96.64 68.0
9 0.0690306633979 97.9183333333 96.84 68.5
10 0.0653803283083 98.0166666667 96.98 66.0
11 0.0613758712071 98.1083333333 96.94 67.0
12 0.058624950818 98.2266666667 97.03 67.5
13 0.0556965515123 98.3366666667 96.85000000000001 69.0
14 0.0528259931172 98.3716666667 97.0 69.5
15 0.0499433146978 98.4933333333 96.85000000000001 68.0
16 0.0475434122558 98.4983333333 96.88 68.5
17 0.0438947309241 98.655 96.78999999999999 68.5
18 0.0417507471145 98.7366666667 96.88 70.0
19 0.039259703554 98.7966666667 96.78 70.0
20 0.036766143491 98.86 97.05 70.5
21 0.0355670251659 98.9333333333 97.1 69.0
22 0.0344284383103 98.9833333333 96.89 68.0
23 0.0328687838578 98.9716666667 96.84 69.0
24 0.0309270794839 99.06 97.14 69.5
25 0.0289173209738 99.1083333333 97.09 70.5
26 0.028636355971 99.0916666667 96.48 70.5
27 0.0265843953943 99.2116666667 97.02 71.0
28 0.0253812931939 99.2166666667 97.19 69.0
29 0.0244262582079 99.2416666667 96.96000000000001 68.0
30 0.0228787195319 99.27 97.11 69.0
31 0.0213487238422 99.3166666667 96.96000000000001 69.5
32 0.0205040979816 99.3766666667 97.11999999999999 68.5
33 0.0183789207534 99.4233333333 97.49 69.0
34 0.0192234159994 99.3666666667 97.06 70.0
35 0.0173833991313 99.4316666667 97.28 68.5
36 0.0179220004429 99.3933333333 97.46000000000001 71.0
37 0.0157940572479 99.48 97.34 70.5
38 0.0159408077767 99.4883333333 96.89 72.5
39 0.0161940540635 99.4566666667 97.25 68.0
40 0.0148295035121 99.49 97.23 69.0
41 0.0136248605555 99.5683333333 97.14 68.0
42 0.01442603511 99.53 97.45 70.5
43 0.0136161193493 99.605 96.95 69.0
44 0.0124666158704 99.5716666667 97.31 70.0
45 0.00969158878682 99.7016666667 97.31 70.5
46 0.00986950967857 99.69 97.35000000000001 71.0
47 0.00892401654518 99.7516666667 97.35000000000001 70.5
48 0.0083482082481 99.7533333333 97.55 71.5
49 0.0105366292152 99.645 97.43 71.5

NeuralNetwork1C1P3LReLU
convolution layer: filter num 6
                   filter dim 3
pooling layer    : filter dim 2
hidden layer     : dim 55
0 0.749062982693 76.0466666667 91.97 61.0
1 0.187752409254 94.28 94.74000000000001 62.0
2 0.142610046022 95.6866666667 95.46 67.5
3 0.120983080213 96.3583333333 95.89 68.5
4 0.106958836871 96.7633333333 95.96000000000001 68.5
5 0.0967012237319 97.0916666667 96.38 69.5
6 0.0881742378482 97.405 96.1 68.5
7 0.0812873282883 97.5866666667 96.64 68.5
8 0.0752595716832 97.73 96.6 67.0
9 0.0699729908549 97.8566666667 96.41999999999999 68.5
10 0.0645350855229 98.0183333333 96.61 69.5
11 0.0605199613648 98.1966666667 96.86 70.5
12 0.0561907616879 98.3316666667 96.73 71.0
13 0.0538130916359 98.3383333333 96.7 71.0
14 0.049662262094 98.47 96.71 71.5
15 0.0469979506984 98.5716666667 96.57 71.0
16 0.0444930464198 98.62 96.52 72.5
17 0.0418322412551 98.6816666667 96.52 72.5
18 0.0391175443096 98.775 96.50999999999999 71.5
19 0.0365734970118 98.8583333333 96.56 72.5
20 0.0340049739318 98.9966666667 96.83 72.5
21 0.0322632174255 98.9983333333 96.54 72.5
22 0.0306523381503 99.05 96.75 72.0
23 0.0283482412639 99.1566666667 96.6 71.5
24 0.027115295463 99.18 96.65 72.0
25 0.0254889642894 99.225 96.61999999999999 71.5
26 0.0240528226681 99.2633333333 96.84 71.0
27 0.0231475695123 99.275 96.19 71.5
28 0.0219850100922 99.3266666667 96.85000000000001 71.5
29 0.0193197808934 99.435 96.91 72.5
30 0.0186832254122 99.445 96.84 73.0
31 0.0174055304479 99.4383333333 96.88 72.0
32 0.0170155788851 99.4683333333 96.95 71.5
33 0.0160297727442 99.5116666667 96.88 71.0
34 0.0139417880384 99.5883333333 97.36 73.5
35 0.0130285269521 99.575 97.02 72.0
36 0.0131334970691 99.595 96.91 71.0
37 0.0119224517172 99.6416666667 96.99 70.5
38 0.0109085119826 99.6616666667 97.33000000000001 70.5
39 0.0115055064914 99.6416666667 96.99 72.5
40 0.00968891945196 99.7 96.87 71.0
41 0.00960235549031 99.725 97.16 69.0
42 0.00891607047388 99.7233333333 96.93 71.0
43 0.00942583864712 99.7066666667 97.11999999999999 69.5
44 0.00719191592815 99.7983333333 96.83 70.5
45 0.0070635196172 99.7816666667 96.78999999999999 71.0
46 0.00730417185788 99.8 97.31 70.0
47 0.00762405060844 99.745 97.22 69.0
48 0.00738705480074 99.7716666667 97.46000000000001 70.5
49 0.00646716889962 99.805 97.41 69.5

NeuralNetwork1C1P3LReLU
convolution layer: filter num 10
                   filter dim 3
pooling layer    : filter dim 2
hidden layer     : dim 55
0 0.74635086835 75.9066666667 92.05 57.49999999999999
1 0.187990253497 94.3283333333 95.1 63.5
2 0.143473327617 95.6016666667 95.84 64.0
3 0.1224699022 96.2516666667 96.16 66.5
4 0.107507801195 96.7433333333 96.22 69.5
5 0.0963409537304 97.0983333333 96.1 71.0
6 0.0879887181949 97.35 96.32 70.0
7 0.0804219363353 97.5733333333 96.39 71.0
8 0.0753656660342 97.7133333333 96.72 70.0
9 0.0704286695563 97.88 96.85000000000001 72.0
10 0.0650432664012 98.03 96.74000000000001 71.5
11 0.0608520244807 98.1666666667 96.92 73.5
12 0.0565789726168 98.305 96.89999999999999 73.5
13 0.0528347064116 98.3983333333 97.15 72.0
14 0.049630417442 98.5216666667 97.15 73.0
15 0.0461932184137 98.6216666667 97.3 72.0
16 0.0427298806834 98.6983333333 97.35000000000001 72.5
17 0.0400557963851 98.7616666667 97.31 71.0
18 0.0369831372946 98.8583333333 97.28999999999999 73.0
19 0.0343643430465 98.96 97.32 71.0
20 0.0308543991032 99.0366666667 97.32 70.5
21 0.0288507247974 99.1066666667 97.44 72.5
22 0.026898435182 99.16 97.37 74.0
23 0.0243717003308 99.2883333333 97.54 75.0
24 0.0227181598288 99.305 97.41 71.5
25 0.020116007669 99.42 97.49 73.0
26 0.0189507156675 99.46 97.65 71.5
27 0.0172131468808 99.51 97.71 71.5
28 0.0164125576702 99.5233333333 97.5 72.5
29 0.0148699831636 99.5866666667 97.72999999999999 71.0
30 0.0134606672249 99.675 97.64 71.0
31 0.013154629456 99.6233333333 97.44 71.5
32 0.011711980271 99.7166666667 97.35000000000001 71.0
33 0.0104593064972 99.7183333333 97.77 71.0
34 0.00992516552151 99.73 97.53 71.0
35 0.00924990735624 99.7816666667 97.75 71.5
36 0.00818848434855 99.7866666667 97.66 71.0
37 0.00894370534614 99.775 97.7 70.5
38 0.00690879896919 99.8266666667 97.71 72.5
39 0.0070706435765 99.8316666667 97.56 73.0
40 0.00813879257544 99.7766666667 97.58 71.5
41 0.00621955797487 99.8533333333 97.72 71.5
42 0.00583948549007 99.8616666667 97.68 70.5
43 0.00500312063657 99.8933333333 97.8 71.5
44 0.00408910152704 99.9283333333 97.75 71.5
45 0.00467907914869 99.885 97.69 73.0
46 0.00321771852068 99.955 97.75 71.0
47 0.00304389839525 99.9566666667 97.75 73.0
48 0.00264929737611 99.9816666667 97.83 72.5
49 0.00226827679277 99.98 97.71 72.5

NeuralNetwork1C1P3LReLU
convolution layer: filter num 12
                   filter dim 3
pooling layer    : filter dim 2
hidden layer     : dim 55
0 0.700134220286 77.6566666667 91.79 58.5
1 0.189496936536 94.2466666667 94.86 60.0
2 0.145836158891 95.51 95.62 60.0
3 0.125115033274 96.2566666667 96.08 61.5
4 0.110016783827 96.6816666667 96.17999999999999 63.0
5 0.099742667522 96.9333333333 96.43 64.0
6 0.0913402272224 97.1933333333 96.37 65.5
7 0.0838779808441 97.44 96.67999999999999 66.5
8 0.0774805343813 97.685 96.73 66.0
9 0.0718882108796 97.8283333333 96.94 66.0
10 0.0666519601279 97.9883333333 96.89999999999999 64.5
11 0.0618781573787 98.1633333333 96.99 64.0
12 0.0579603722069 98.2383333333 96.88 66.0
13 0.0544070427094 98.3466666667 96.91 66.5
14 0.049710444088 98.5283333333 97.23 66.0
15 0.0462620031089 98.5916666667 97.15 66.5
16 0.0431865347303 98.6766666667 97.17 67.0
17 0.0403149152705 98.7183333333 97.27 66.0
18 0.0375928965907 98.8383333333 97.22 66.0
19 0.034464362325 98.9316666667 97.26 67.0
20 0.0316628845698 99.0566666667 97.49 68.0
21 0.0293543972678 99.125 97.48 67.5
22 0.0268248367295 99.225 97.61999999999999 66.5
23 0.0251712265013 99.2733333333 97.65 67.5
24 0.0228783941257 99.345 97.56 65.5
25 0.0208454825986 99.4433333333 97.64 65.5
26 0.0197322324854 99.4516666667 97.74000000000001 66.0
27 0.0176368873788 99.535 97.76 67.0
28 0.0163128656015 99.5916666667 97.92999999999999 69.0
29 0.0148488301015 99.5983333333 97.89999999999999 68.5
30 0.0136526550577 99.6616666667 97.91 67.0
31 0.0123064286612 99.7033333333 97.96000000000001 69.0
32 0.0117176368997 99.7033333333 98.08 69.5
33 0.0101887213599 99.7783333333 98.00999999999999 67.5
34 0.00943744457368 99.805 98.0 69.0
35 0.00843462478075 99.8283333333 98.08 69.0
36 0.00755318064866 99.8533333333 97.94 69.5
37 0.00700890176594 99.8666666667 97.91 69.5
38 0.00629709856275 99.8983333333 97.92 70.5
39 0.00580274029997 99.91 97.97 70.5
40 0.0054573406738 99.9216666667 97.94 71.5
41 0.00503907433601 99.9283333333 97.89999999999999 70.0
42 0.00464199261699 99.94 97.98 71.5
43 0.00409578896877 99.95 97.96000000000001 70.0
44 0.00398053596225 99.9433333333 97.94 70.0
45 0.00352007591542 99.955 97.96000000000001 71.0
46 0.00323294649936 99.9566666667 97.99 70.0
47 0.00274189981311 99.97 97.98 71.0
48 0.00250050776213 99.9783333333 98.06 72.0
49 0.00246238644765 99.9716666667 97.96000000000001 71.5

NeuralNetwork1C1P3LReLU
convolution layer: filter num 10
                   filter dim 3
pooling layer    : filter dim 2
hidden layer     : dim 65
0 0.778237015985 74.3066666667 91.60000000000001 58.5
1 0.186458346526 94.3483333333 95.09 60.0
2 0.136157281013 95.91 95.6 61.0
3 0.112671491744 96.595 96.38 66.0
4 0.0990428613359 96.9866666667 96.72 67.5
5 0.0895020010974 97.3033333333 96.67 69.0
6 0.0820926258537 97.5016666667 96.65 69.5
7 0.0753956385682 97.66 96.7 70.0
8 0.0699420420822 97.8366666667 96.54 72.0
9 0.0647517506895 97.9816666667 96.89999999999999 72.0
10 0.0597468499741 98.175 96.8 71.0
11 0.0564248201637 98.2133333333 96.77 70.5
12 0.0523781763545 98.3783333333 96.84 70.5
13 0.0483639195739 98.5266666667 97.18 72.0
14 0.0454111085465 98.625 96.92 69.5
15 0.042486966413 98.6816666667 97.11999999999999 70.0
16 0.03861463867 98.835 97.27 70.5
17 0.0363694795879 98.9066666667 97.35000000000001 71.0
18 0.034038470735 98.9183333333 97.44 70.5
19 0.0312918141082 99.0366666667 97.39 72.5
20 0.0283633874997 99.145 97.25 72.0
21 0.0254074864999 99.235 97.38 72.0
22 0.0238392448435 99.2633333333 97.81 73.5
23 0.0219058036135 99.3733333333 97.56 72.5
24 0.020352039019 99.3766666667 97.56 72.0
25 0.0193586745863 99.4283333333 97.61 72.0
26 0.0180491136929 99.4666666667 97.55 72.0
27 0.0171920498888 99.4783333333 97.6 73.5
28 0.0153398349679 99.54 97.59 74.5
29 0.0154896965521 99.5083333333 97.44 74.0
30 0.0145437275767 99.5616666667 97.3 73.5
31 0.0122619642324 99.6366666667 97.49 73.5
32 0.0109255700112 99.685 97.53 73.5
33 0.0093821626034 99.7333333333 97.76 76.5
34 0.0105237037898 99.685 97.6 75.5
35 0.00988672324467 99.6933333333 97.47 75.0
36 0.00833023435194 99.7533333333 97.36 73.0
37 0.00647548402715 99.84 97.6 73.5
38 0.00749033883831 99.79 97.63 74.0
39 0.00623629425411 99.815 97.33000000000001 73.5
40 0.0049260503685 99.8783333333 97.52 74.0
41 0.00620624619095 99.8166666667 97.59 73.0
42 0.00446026799311 99.895 97.65 73.5
43 0.00477190387177 99.87 97.64 73.0
44 0.00435474889258 99.8866666667 97.87 74.0
45 0.00473017278573 99.865 97.65 74.5
46 0.00383002763087 99.9 97.78 75.5
47 0.00584097626309 99.8183333333 97.76 73.5
48 0.00432481672847 99.8783333333 97.6 72.5
49 0.00485033150265 99.875 97.77 74.5

NeuralNetwork1C1P3LReLU
convolution layer: filter num 10
                   filter dim 3
pooling layer    : filter dim 2
hidden layer     : dim 65
0 0.00375337270465 99.875 98.13 73.5
1 0.00224209733271 99.9533333333 98.18 74.0
2 0.00190885498421 99.975 98.21 74.5
3 0.00170951438275 99.9833333333 98.22999999999999 74.5
4 0.00156754157489 99.9866666667 98.21 75.5
5 0.00146006073969 99.995 98.22999999999999 75.5
6 0.00137604784822 99.9966666667 98.24000000000001 75.5
7 0.00130607458739 99.9966666667 98.24000000000001 75.5
8 0.00124850700686 99.9966666667 98.25 75.5
9 0.00120137258334 99.9966666667 98.25 75.5

NeuralNetwork1C1P3LReLU
convolution layer: filter num 10
                   filter dim 3
pooling layer    : filter dim 2
hidden layer     : dim 65
0 0.00115770261664 99.9983333333 98.25 75.5
1 0.00112238079514 99.9983333333 98.25 75.5
2 0.00108952270429 99.9983333333 98.25 75.5
3 0.00105912793567 99.9983333333 98.25 75.0
4 0.00103262310969 99.9983333333 98.24000000000001 75.0
